10	124977.449988	3340.299090
20	104943855942.023926	2804856928.893233
30	749344827687803392.000000	20027899806078972.000000
40	1273100011654950400.000000	34026416857001716.000000
50	2476093188653998080.000000	66179073319149872.000000
60	5405711656852868096.000000	144479613982347328.000000
70	12449276460531572736.000000	332734480037783616.000000
80	29346528342420832256.000000	784350952433787904.000000
90	69866893405620699136.000000	1867347433634052608.000000
100	167030070729504227328.000000	4464248497577564160.000000
110	400013502862438694912.000000	10691246620234733568.000000
120	958673396862529044480.000000	25622669336840245248.000000
130	2298256924339051692032.000000	61426005369675735040.000000
140	5510379249665995440128.000000	147277087167386959872.000000
150	13212571395157741535232.000000	353135227341733167104.000000
160	31681283893749302165504.000000	846752464429243826176.000000
170	75966512670595302293504.000000	2030373264974062288896.000000
180	-nan(ind)	-nan(ind)
190	-nan(ind)	-nan(ind)
200	-nan(ind)	-nan(ind)
210	-nan(ind)	-nan(ind)
220	-nan(ind)	-nan(ind)
230	-nan(ind)	-nan(ind)
240	-nan(ind)	-nan(ind)
250	-nan(ind)	-nan(ind)
260	-nan(ind)	-nan(ind)
270	-nan(ind)	-nan(ind)
280	-nan(ind)	-nan(ind)
290	-nan(ind)	-nan(ind)
300	-nan(ind)	-nan(ind)
310	-nan(ind)	-nan(ind)
320	-nan(ind)	-nan(ind)
330	-nan(ind)	-nan(ind)
340	-nan(ind)	-nan(ind)
350	-nan(ind)	-nan(ind)
360	-nan(ind)	-nan(ind)
370	-nan(ind)	-nan(ind)
380	-nan(ind)	-nan(ind)
390	-nan(ind)	-nan(ind)
400	-nan(ind)	-nan(ind)
410	-nan(ind)	-nan(ind)
420	-nan(ind)	-nan(ind)
430	-nan(ind)	-nan(ind)
440	-nan(ind)	-nan(ind)
450	-nan(ind)	-nan(ind)
460	-nan(ind)	-nan(ind)
470	-nan(ind)	-nan(ind)
480	-nan(ind)	-nan(ind)
490	-nan(ind)	-nan(ind)
500	-nan(ind)	-nan(ind)
510	-nan(ind)	-nan(ind)
520	-nan(ind)	-nan(ind)
530	-nan(ind)	-nan(ind)
540	-nan(ind)	-nan(ind)
550	-nan(ind)	-nan(ind)
560	-nan(ind)	-nan(ind)
570	-nan(ind)	-nan(ind)
580	-nan(ind)	-nan(ind)
590	-nan(ind)	-nan(ind)
600	-nan(ind)	-nan(ind)
610	-nan(ind)	-nan(ind)
620	-nan(ind)	-nan(ind)
630	-nan(ind)	-nan(ind)
640	-nan(ind)	-nan(ind)
650	-nan(ind)	-nan(ind)
660	-nan(ind)	-nan(ind)
670	-nan(ind)	-nan(ind)
680	-nan(ind)	-nan(ind)
690	-nan(ind)	-nan(ind)
700	-nan(ind)	-nan(ind)
710	-nan(ind)	-nan(ind)
720	-nan(ind)	-nan(ind)
730	-nan(ind)	-nan(ind)
740	-nan(ind)	-nan(ind)
750	-nan(ind)	-nan(ind)
760	-nan(ind)	-nan(ind)
770	-nan(ind)	-nan(ind)
780	-nan(ind)	-nan(ind)
790	-nan(ind)	-nan(ind)
800	-nan(ind)	-nan(ind)
810	-nan(ind)	-nan(ind)
820	-nan(ind)	-nan(ind)
830	-nan(ind)	-nan(ind)
840	-nan(ind)	-nan(ind)
850	-nan(ind)	-nan(ind)
860	-nan(ind)	-nan(ind)
870	-nan(ind)	-nan(ind)
880	-nan(ind)	-nan(ind)
890	-nan(ind)	-nan(ind)
900	-nan(ind)	-nan(ind)
910	-nan(ind)	-nan(ind)
920	-nan(ind)	-nan(ind)
930	-nan(ind)	-nan(ind)
940	-nan(ind)	-nan(ind)
950	-nan(ind)	-nan(ind)
960	-nan(ind)	-nan(ind)
970	-nan(ind)	-nan(ind)
980	-nan(ind)	-nan(ind)
990	-nan(ind)	-nan(ind)
1000	-nan(ind)	-nan(ind)
1010	-nan(ind)	-nan(ind)
1020	-nan(ind)	-nan(ind)
1030	-nan(ind)	-nan(ind)
1040	-nan(ind)	-nan(ind)
1050	-nan(ind)	-nan(ind)
1060	-nan(ind)	-nan(ind)
1070	-nan(ind)	-nan(ind)
1080	-nan(ind)	-nan(ind)
1090	-nan(ind)	-nan(ind)
1100	-nan(ind)	-nan(ind)
1110	-nan(ind)	-nan(ind)
1120	-nan(ind)	-nan(ind)
1130	-nan(ind)	-nan(ind)
1140	-nan(ind)	-nan(ind)
1150	-nan(ind)	-nan(ind)
1160	-nan(ind)	-nan(ind)
1170	-nan(ind)	-nan(ind)
1180	-nan(ind)	-nan(ind)
1190	-nan(ind)	-nan(ind)
1200	-nan(ind)	-nan(ind)
1210	-nan(ind)	-nan(ind)
1220	-nan(ind)	-nan(ind)
1230	-nan(ind)	-nan(ind)
1240	-nan(ind)	-nan(ind)
1250	-nan(ind)	-nan(ind)
1260	-nan(ind)	-nan(ind)
1270	-nan(ind)	-nan(ind)
1280	-nan(ind)	-nan(ind)
1290	-nan(ind)	-nan(ind)
1300	-nan(ind)	-nan(ind)
1310	-nan(ind)	-nan(ind)
1320	-nan(ind)	-nan(ind)
1330	-nan(ind)	-nan(ind)
1340	-nan(ind)	-nan(ind)
1350	-nan(ind)	-nan(ind)
1360	-nan(ind)	-nan(ind)
1370	-nan(ind)	-nan(ind)
1380	-nan(ind)	-nan(ind)
1390	-nan(ind)	-nan(ind)
